rhos_443,rhos_492,rhos_560,rhos_665,rhos_704,rhos_740,rhos_783,rhos_833,rhos_865,rhos_1614,rhos_2202,geometry,lev1_name,lev2_name,lev3_name
0.029424801,0.016670872,0.0374887,0.019926148,0.061638836,0.13370499,0.13735715,0.17913729,0.14817646,0.045281358,0.020205641,POINT (327414.9906258732 6919174.920900912),ALGAE,BROWN,ASCNO
0.029424801,0.01898136,0.037739743,0.01751715,0.061638836,0.13370499,0.13735715,0.18450463,0.14817646,0.045281358,0.020205641,POINT (327415.004078344 6919165.128987924),ALGAE,BROWN,ASCNO
0.029424801,0.013973401,0.023662139,0.013270941,0.040166896,0.06829262,0.07840529,0.09665792,0.07580536,0.034353558,0.02226094,POINT (327414.9956098094 6919154.912502005),ALGAE,BROWN,ASCNO
0.029427258,0.024624484,0.033848044,0.008218919,0.01336992,0.020777566,0.023461757,0.015439416,0.030175755,0.027601628,0.01940636,POINT (327415.0006078405 6919134.9041033),SEDIMENT,SAND,SAND
0.029427258,0.022061257,0.029449612,0.00994173,0.01336992,0.020777566,0.023461757,0.015552745,0.030175755,0.027601628,0.01940636,POINT (327415.0140742379 6919125.112190507),ALGAE,BROWN,
0.029427258,0.019752774,0.025173226,0.0059212665,0.00591207,0.009425825,0.0131972665,0.012719178,0.016508877,0.019989986,0.012782774,POINT (327415.00561996613 6919114.895704794),ALGAE,BROWN,
0.029427258,0.016415656,0.019255862,0.0029333206,0.00591207,0.009425825,0.0131972665,0.011472204,0.016508877,0.019989986,0.012782774,POINT (327414.9944396289 6919105.105065167),ALGAE,BROWN,SACLA
0.029427258,0.010889679,0.014214407,0.0035080116,0.016924573,0.033799406,0.035874613,0.009658198,0.031016337,0.03917531,0.027512845,POINT (327414.985992413 6919094.888579553),ALGAE,BROWN,
0.029427258,0.013332451,0.0128271375,0.0014389225,0.016924573,0.033799406,0.035874613,0.011245466,0.031016337,0.03917531,0.027512845,POINT (327414.9994726648 6919085.096666957),ALGAE,BROWN,
0.01803767,0.012177184,0.0110619245,0.0020142212,0.003157252,0.011337741,0.014818869,0.010338709,0.016403891,0.022670474,0.019178012,POINT (327414.99103258026 6919074.8801814485),ALGAE,BROWN,
0.019846912,0.017315937,0.030707572,0.018321183,0.06198183,0.11714222,0.14344944,0.15473178,0.12972993,0.02738736,0.016208969,POINT (327424.9970888287 6919174.829895176),ALGAE,BROWN,ASCNO
0.019846912,0.017315937,0.031210324,0.017403373,0.06198183,0.11714222,0.14344944,0.1369007,0.12972993,0.02738736,0.016208969,POINT (327425.01057047537 6919165.037982638),ROCK,COBBLE,COBBLE
0.019846912,0.015903484,0.02680962,0.012009072,0.033647448,0.05956911,0.05775278,0.07197625,0.058096923,0.01301959,0.0077571976,POINT (327425.00213238597 6919154.821497126),ALGAE,BROWN,ASCNO
0.019846912,0.021806361,0.03322081,0.010171883,0.033647448,0.05956911,0.05775278,0.029031951,0.058096923,0.01301959,0.0077571976,POINT (327424.9909675937 6919145.030857681),ALGAE,BROWN,ASCNO
